subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,PRE_SHAKING1,2013-11-1T11:27:30.000-05:00,0,0,0
5,PRE_SHAKING1,2013-11-1T11:27:31.000-05:00,2086.38,947.614,2086.38
5,PRE_SHAKING1,2013-11-1T11:27:32.000-05:00,1997.42,1647.4,-88.96
5,PRE_SHAKING1,2013-11-1T11:27:33.000-05:00,1709.9,1835.05,-287.52
5,PRE_SHAKING1,2013-11-1T11:27:34.000-05:00,2170.28,2020.6,460.384
5,PRE_SHAKING1,2013-11-1T11:27:35.000-05:00,2045.21,2015.52,-125.072
5,PRE_SHAKING1,2013-11-1T11:27:36.000-05:00,2153.66,2029.26,108.448
5,PRE_SHAKING1,2013-11-1T11:27:37.000-05:00,2472.04,1996.16,318.384
5,PRE_SHAKING1,2013-11-1T11:27:38.000-05:00,1938.41,2026.4,-533.632
5,PRE_SHAKING1,2013-11-1T11:27:39.000-05:00,2336.92,1975.2,398.512
5,PRE_SHAKING1,2013-11-1T11:27:40.000-05:00,1724.63,1712.29,-612.288
5,PRE_SHAKING1,2013-11-1T11:27:41.000-05:00,2153.98,1782.39,429.344
5,PRE_SHAKING1,2013-11-1T11:27:42.000-05:00,1992.39,1845.96,-161.584
5,PRE_SHAKING1,2013-11-1T11:27:43.000-05:00,2437.8,1862.19,445.408
5,PRE_SHAKING1,2013-11-1T11:27:44.000-05:00,1701.29,1739.36,-736.512
5,PRE_SHAKING1,2013-11-1T11:27:45.000-05:00,2093.86,1811.12,392.576
5,PRE_SHAKING1,2013-11-1T11:27:46.000-05:00,2106.26,1810.52,12.4
5,PRE_SHAKING1,2013-11-1T11:27:47.000-05:00,1981.59,1644.4,-124.672
5,PRE_SHAKING1,2013-11-1T11:27:48.000-05:00,2062.5,1688.44,80.912
5,PRE_SHAKING1,2013-11-1T11:27:49.000-05:00,2062.02,1540.44,-0.48
5,PRE_SHAKING1,2013-11-1T11:27:50.000-05:00,2046.9,1477.16,-15.12
5,BASELINE1,2013-11-1T11:32:40.000-05:00,2831,0,784.096
5,BASELINE1,2013-11-1T11:32:41.000-05:00,2053.27,101.669,-777.728
5,BASELINE1,2013-11-1T11:32:42.000-05:00,2055.61,133.245,2.336
5,BASELINE1,2013-11-1T11:32:43.000-05:00,2055.91,105.192,0.304
5,BASELINE1,2013-11-1T11:32:44.000-05:00,2054.86,143.149,-1.056
5,BASELINE1,2013-11-1T11:32:45.000-05:00,2055.35,91.0975,0.496
5,BASELINE1,2013-11-1T11:32:46.000-05:00,2053.4,99.3747,-1.952
5,BASELINE1,2013-11-1T11:32:47.000-05:00,2057.19,142.979,3.792
5,BASELINE1,2013-11-1T11:32:48.000-05:00,2055.05,99.3312,-2.144
5,BASELINE1,2013-11-1T11:32:49.000-05:00,2055.16,132.388,0.112
5,BASELINE1,2013-11-1T11:32:50.000-05:00,2055.82,103.411,0.656
5,BASELINE1,2013-11-1T11:32:51.000-05:00,2057.96,141.202,2.144
5,BASELINE1,2013-11-1T11:32:52.000-05:00,2052.87,93.7995,-5.088
5,BASELINE1,2013-11-1T11:32:53.000-05:00,2054.6,98.339,1.728
5,BASELINE1,2013-11-1T11:32:54.000-05:00,2057.29,144.002,2.688
5,BASELINE1,2013-11-1T11:32:55.000-05:00,2053.24,102.725,-4.048
5,BASELINE1,2013-11-1T11:32:56.000-05:00,2054.55,99.5487,1.312
5,BASELINE1,2013-11-1T11:32:57.000-05:00,2059.08,129.298,4.528
5,BASELINE1,2013-11-1T11:32:58.000-05:00,2052.98,101.168,-6.096
