subject,session,timestamp,gravity_x_LH,gravity_y_LH,gravity_z_LH,gravity_feature_LH,gravity_feature_level_LH,gravity_feature_LH_1std,gravity_trend_LH,gravity_trend_elapsed_time_LH,baseline_gravity_x_LH,baseline_gravity_y_LH,baseline_gravity_z_LH,gyro_x_LH,gyro_y_LH,gyro_z_LH,gyro_feature_LH,gyro_feature_level_LH,gyro_feature_LH_1std,gyro_trend_LH,gyro_trend_elapsed_time_LH,north_x_LH,north_y_LH,north_z_LH,gravity_x_head,gravity_y_head,gravity_z_head,gravity_feature_head,gravity_feature_level_head,gravity_feature_head_1std,gravity_trend_head,gravity_trend_elapsed_time_head,baseline_gravity_x_head,baseline_gravity_y_head,baseline_gravity_z_head,gyro_x_head,gyro_y_head,gyro_z_head,gyro_feature_head,gyro_feature_level_head,gyro_feature_head_1std,gyro_trend_head,gyro_trend_elapsed_time_head,north_x_head,north_y_head,north_z_head,gravity_x_foot,gravity_y_foot,gravity_z_foot,gravity_feature_foot,gravity_feature_level_foot,gravity_feature_foot_1std,gravity_trend_foot,gravity_trend_elapsed_time_foot,baseline_gravity_x_foot,baseline_gravity_y_foot,baseline_gravity_z_foot,gyro_x_foot,gyro_y_foot,gyro_z_foot,gyro_feature_foot,gyro_feature_level_foot,gyro_feature_foot_1std,gyro_trend_foot,gyro_trend_elapsed_time_foot,north_x_foot,north_y_foot,north_z_foot,gravity_x_RH,gravity_y_RH,gravity_z_RH,gravity_feature_RH,gravity_feature_level_RH,gravity_feature_RH_1std,gravity_trend_RH,gravity_trend_elapsed_time_RH,baseline_gravity_x_RH,baseline_gravity_y_RH,baseline_gravity_z_RH,gyro_x_RH,gyro_y_RH,gyro_z_RH,gyro_feature_RH,gyro_feature_level_RH,gyro_feature_RH_1std,gyro_trend_RH,gyro_trend_elapsed_time_RH,north_x_RH,north_y_RH,north_z_RH
5,BASELINE1,2013-11-01T11:32:40.000-05:00,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gravity_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gyro_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gravity_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gyro_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gravity_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gyro_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gravity_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,Null_Gyro_level,-1.#IND,Plain,1,-1.#IND,-1.#IND,-1.#IND
5,BASELINE1,2013-11-01T11:32:41.000-05:00,0.7495,0.6045,0.26925,0,Low_deviation,-1.#IND,Plain,2,0.7495,0.6045,0.26925,0.013,0.0195,0.0145,0.00918634,Ignorable_fluctuation,-1.#IND,Plain,2,-0.13525,-0.3265,0.9355,-0.61875,0.74725,-0.24175,0,Low_deviation,-1.#IND,Plain,2,-0.61875,0.74725,-0.24175,-0.03775,-0.05725,-0.00825,0.0230234,Ignorable_fluctuation,-1.#IND,Plain,2,0.96875,-0.07125,0.23725,-0.122,0.9645,0.2335,0,Low_deviation,-1.#IND,Plain,2,-0.122,0.9645,0.2335,0.007,0.00275,-0.024,0.0083836,Ignorable_fluctuation,-1.#IND,Plain,2,0.308,0.17,-0.936,-0.666,0.66875,0.32975,0,Low_deviation,-1.#IND,Plain,2,-0.666,0.66875,0.32975,0.01225,-0.00875,-0.02825,0.0106702,Ignorable_fluctuation,-1.#IND,Plain,2,0.5535,-0.60725,0.57
5,BASELINE1,2013-11-01T11:32:42.000-05:00,0.7445,0.6105,0.2695,0,Low_deviation,0,Plain,3,0.7445,0.6105,0.2695,-0.00275,0.0145,-0.004,0.00509698,Ignorable_fluctuation,-0.00408937,Decrement,1,-0.13175,-0.3245,0.93675,-0.62475,0.747,-0.2285,0,Low_deviation,0,Plain,3,-0.62475,0.747,-0.2285,-0.06625,-0.00375,-0.03525,0.0250459,Ignorable_fluctuation,0.00202254,Increment,1,0.9765,-0.0785,0.20075,-0.12375,0.9645,0.233,0,Low_deviation,0,Plain,3,-0.12375,0.9645,0.233,0.00525,0.00875,-0.0175,0.00675257,Ignorable_fluctuation,-0.00163103,Decrement,1,0.31825,0.16775,-0.933,-0.659,0.66425,0.3515,0,Low_deviation,0,Plain,3,-0.659,0.66425,0.3515,0.008,0.00225,0.00025,0.00277138,Ignorable_fluctuation,-0.00789887,Decrement,1,0.5535,-0.60125,0.57625
5,BASELINE1,2013-11-01T11:32:43.000-05:00,0.747333,0.611333,0.257667,0,Low_deviation,0,Plain,4,0.747333,0.611333,0.257667,-0.007,0.0133333,0.013,0.00663139,Ignorable_fluctuation,0.00153441,Increment,1,-0.14,-0.319333,0.937333,-0.645333,0.730333,-0.224333,0,Low_deviation,0,Plain,4,-0.645333,0.730333,-0.224333,-0.0193333,-0.031,-0.0403333,0.0181401,Ignorable_fluctuation,-0.00690587,Decrement,1,0.982667,-0.0456667,0.177667,-0.119333,0.965333,0.231,0,Low_deviation,0,Plain,4,-0.119333,0.965333,0.231,0.00466667,0.0173333,-0.022,0.00946468,Ignorable_fluctuation,0.00271211,Increment,1,0.317,0.170667,-0.933,-0.667,0.657333,0.348667,0,Low_deviation,0,Plain,4,-0.667,0.657333,0.348667,0.00366667,-0.0193333,-0.00933333,0.00725973,Ignorable_fluctuation,0.00448835,Increment,1,0.552333,-0.601,0.577667
5,BASELINE1,2013-11-01T11:32:44.000-05:00,0.753,0.59925,0.2715,0,Low_deviation,0,Plain,5,0.753,0.59925,0.2715,0.016,0.021,0.025,0.0121198,Ignorable_fluctuation,0.00548838,Increment,2,-0.13875,-0.33,0.934,-0.64725,0.72925,-0.2215,0,Low_deviation,0,Plain,5,-0.64725,0.72925,-0.2215,-0.074,0.0135,-0.0275,0.0266969,Ignorable_fluctuation,0.0085568,Increment,1,0.985,-0.03825,0.16875,-0.12275,0.9645,0.23325,0,Low_deviation,0,Plain,5,-0.12275,0.9645,0.23325,0.00325,0.01675,-0.015,0.00757279,Ignorable_fluctuation,-0.00189189,Decrement,1,0.3115,0.17525,-0.93375,-0.676,0.65025,0.34525,0,Low_deviation,0,Plain,5,-0.676,0.65025,0.34525,0.01575,-0.00675,-0.02025,0.00884237,Ignorable_fluctuation,0.00158264,Increment,2,0.55425,-0.60075,0.57625
5,BASELINE1,2013-11-01T11:32:45.000-05:00,0.730333,0.632333,0.257667,0,Low_deviation,0,Plain,6,0.730333,0.632333,0.257667,0.013,0.0143333,0.0163333,0.00844079,Ignorable_fluctuation,-0.00367898,Decrement,1,-0.140333,-0.323333,0.936,-0.648333,0.728667,-0.221,0,Low_deviation,0,Plain,6,-0.648333,0.728667,-0.221,-0.0583333,0.02,-0.0353333,0.0236907,Ignorable_fluctuation,-0.00300621,Decrement,1,0.984333,-0.0426667,0.171667,-0.122333,0.964667,0.233333,0,Low_deviation,0,Plain,6,-0.122333,0.964667,0.233333,0.00333333,0.0153333,-0.0336667,0.0123813,Ignorable_fluctuation,0.00480849,Increment,1,0.301667,0.175333,-0.937,-0.660667,0.667333,0.343,0,Low_deviation,0,Plain,6,-0.660667,0.667333,0.343,0.011,0.001,-0.016,0.00648074,Ignorable_fluctuation,-0.00236163,Decrement,1,0.553333,-0.599667,0.578333
5,BASELINE1,2013-11-01T11:32:46.000-05:00,0.74825,0.60375,0.27425,0,Low_deviation,0,Plain,7,0.74825,0.60375,0.27425,0.0215,0.01425,0.062,0.0223838,Ignorable_fluctuation,0.013943,Increment,1,-0.141,-0.327,0.93425,-0.644,0.73175,-0.22325,0,Low_deviation,0,Plain,7,-0.644,0.73175,-0.22325,-0.05425,0.01925,-0.01925,0.0202325,Ignorable_fluctuation,-0.00345815,Decrement,2,0.98325,-0.052,0.175,-0.11975,0.96425,0.2365,0,Low_deviation,0,Plain,7,-0.11975,0.96425,0.2365,0.00375,0.00725,-0.0245,0.00860797,Ignorable_fluctuation,-0.00377331,Decrement,1,0.31025,0.17175,-0.935,-0.6705,0.65725,0.34325,0,Low_deviation,0,Plain,7,-0.6705,0.65725,0.34325,0.01325,-0.0145,-0.01925,0.00916742,Ignorable_fluctuation,0.00268668,Increment,1,0.5565,-0.6045,0.57
5,BASELINE1,2013-11-01T11:32:47.000-05:00,0.745,0.611333,0.265667,0,Low_deviation,0,Plain,8,0.745,0.611333,0.265667,-0.005,0.01,0.00766667,0.00451882,Ignorable_fluctuation,-0.017865,Decrement,1,-0.140333,-0.324667,0.935667,-0.634333,0.739,-0.226,0,Low_deviation,0,Plain,8,-0.634333,0.739,-0.226,-0.0723333,0.0213333,-0.00733333,0.0252565,Ignorable_fluctuation,0.00502396,Increment,1,0.981,-0.063,0.182667,-0.118333,0.965667,0.231667,0,Low_deviation,0,Plain,8,-0.118333,0.965667,0.231667,0.005,0.0106667,-0.0273333,0.0099213,Ignorable_fluctuation,0.00131332,Increment,1,0.311667,0.166667,-0.935,-0.670667,0.653,0.351,0,Low_deviation,0,Plain,8,-0.670667,0.653,0.351,0.0116667,0.00433333,-0.00733333,0.0048151,Ignorable_fluctuation,-0.00435232,Decrement,1,0.553,-0.606333,0.571333
5,BASELINE1,2013-11-01T11:32:48.000-05:00,0.739,0.615333,0.273667,0,Low_deviation,0,Plain,9,0.739,0.615333,0.273667,0.0246667,0.0246667,0.0176667,0.0130341,Ignorable_fluctuation,0.00851532,Increment,1,-0.143333,-0.321333,0.936,-0.626667,0.745,-0.228667,0,Low_deviation,0,Plain,9,-0.626667,0.745,-0.228667,-0.069,0.024,-0.0106667,0.0246098,Ignorable_fluctuation,-0.000646668,Decrement,1,0.978,-0.0833333,0.19,-0.119333,0.965333,0.232,0,Low_deviation,0,Plain,9,-0.119333,0.965333,0.232,0.00566667,0.00933333,-0.018,0.00701761,Ignorable_fluctuation,-0.00290368,Decrement,1,0.319667,0.174333,-0.931333,-0.669333,0.659333,0.342,0,Low_deviation,0,Plain,9,-0.669333,0.659333,0.342,0.0166667,-0.007,-0.027,0.0108309,Ignorable_fluctuation,0.00601581,Increment,1,0.554,-0.606333,0.570667
5,BASELINE1,2013-11-01T11:32:49.000-05:00,0.7455,0.61175,0.26275,0,Low_deviation,0,Plain,10,0.7455,0.61175,0.26275,-0.016,0.00325,-0.02925,0.011166,Ignorable_fluctuation,-0.0018681,Decrement,1,-0.14275,-0.32475,0.935,-0.62175,0.74875,-0.2295,0,Low_deviation,0,Plain,10,-0.62175,0.74875,-0.2295,-0.05375,0.00175,-0.0225,0.0194319,Ignorable_fluctuation,-0.00517793,Decrement,2,0.97575,-0.09275,0.1995,-0.12025,0.964,0.23725,0,Low_deviation,0,Plain,10,-0.12025,0.964,0.23725,0.004,0.0085,-0.0165,0.00632895,Ignorable_fluctuation,-0.000688669,Decrement,2,0.30875,0.17725,-0.9345,-0.6525,0.66475,0.36325,0,Low_deviation,0,Plain,10,-0.6525,0.66475,0.36325,0.01275,0.02475,0.03675,0.0153684,Ignorable_fluctuation,0.00453748,Increment,2,0.55275,-0.60225,0.57625
