subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
26,PRE_SHAKING1,2014-3-3T11:21:00.000-05:00,0,0,0,Low,Breath_holding,1,0,0,0
26,PRE_SHAKING1,2014-3-3T11:21:01.000-05:00,25567.1,31842.6,25567.1,Medium,Breathing_in,1,0.0142222,0.329717,0.0142222
26,PRE_SHAKING1,2014-3-3T11:21:02.000-05:00,3978.06,15388.8,-21589,Low,Breathing_out,1,-0.00211765,0.260909,-0.0163399
26,PRE_SHAKING1,2014-3-3T11:21:03.000-05:00,25538.8,31769.1,21560.7,Medium,Breathing_in,1,-0.190222,0.311507,-0.188105
26,PRE_SHAKING1,2014-3-3T11:21:04.000-05:00,65342.7,34.1562,39803.9,High,Breathing_in,2,0.0384444,0.320727,0.228667
26,PRE_SHAKING1,2014-3-3T11:21:05.000-05:00,43659.2,30845.5,-21683.5,Medium,Breathing_out,1,-0.0195556,0.267508,-0.058
26,PRE_SHAKING1,2014-3-3T11:21:06.000-05:00,61847.2,15000.2,18187.9,High,Breathing_in,1,0.215556,0.47791,0.235111
26,PRE_SHAKING1,2014-3-3T11:21:07.000-05:00,32777.6,32743.6,-29069.6,Medium,Breathing_out,1,0.195556,0.310022,-0.02
26,PRE_SHAKING1,2014-3-3T11:21:08.000-05:00,54593.7,24406.5,21816.1,High,Breathing_in,1,-0.0791111,0.441286,-0.274667
26,PRE_SHAKING1,2014-3-3T11:21:09.000-05:00,15464,27769.4,-39129.7,Low,Breathing_out,1,0.0341176,0.242513,0.113229
26,PRE_SHAKING1,2014-3-3T11:21:10.000-05:00,25541.4,31843.2,10077.4,Medium,Breathing_in,1,-0.0617778,0.229489,-0.0958954
26,PRE_SHAKING1,2014-3-3T11:21:11.000-05:00,58188.6,20568.2,32647.2,High,Breathing_in,2,-0.0931111,0.293169,-0.0313333
26,PRE_SHAKING1,2014-3-3T11:21:12.000-05:00,47315.2,29329.8,-10873.4,Medium,Breathing_out,1,0.0471111,0.270238,0.140222
26,PRE_SHAKING1,2014-3-3T11:21:13.000-05:00,65512.8,5.13761,18197.6,High,Breathing_in,1,0.0522222,0.254518,0.00511111
26,PRE_SHAKING1,2014-3-3T11:21:14.000-05:00,47323.9,29341.7,-18188.9,Medium,Breathing_out,1,-0.00333333,0.245515,-0.0555556
26,PRE_SHAKING1,2014-3-3T11:21:15.000-05:00,54607.9,24417.1,7284,High,Breathing_in,1,-0.223333,0.323592,-0.22
26,PRE_SHAKING1,2014-3-3T11:21:16.000-05:00,15434.4,27789.3,-39173.5,Low,Breathing_out,1,-0.132,0.23735,0.0913333
26,PRE_SHAKING1,2014-3-3T11:21:17.000-05:00,65521.7,2.3094,50087.3,High,Breathing_in,1,0.0175556,0.394926,0.149556
26,PRE_SHAKING1,2014-3-3T11:21:18.000-05:00,18247.3,29321.7,-47274.3,Low,Breathing_out,1,0.0235556,0.264407,0.006
26,PRE_SHAKING1,2014-3-3T11:21:19.000-05:00,29141.9,32544.8,10894.6,Medium,Breathing_in,1,0.144667,0.300939,0.121111
26,BASELINE1,2014-3-3T11:30:00.000-05:00,18341.7,29258.2,-10800.2,Low,Breathing_out,1,0.186444,0.343532,0.0417778
26,BASELINE1,2014-3-3T11:30:01.000-05:00,7721.94,21108.5,-10619.8,Low,Breathing_out,2,-0.274824,0.760681,-0.461268
26,BASELINE1,2014-3-3T11:30:02.000-05:00,43683.9,30883.4,35961.9,Medium,Breathing_in,1,-0.0251111,0.51102,0.249712
26,BASELINE1,2014-3-3T11:30:03.000-05:00,40057.5,31927,-3626.39,Medium,Breathing_out,1,-0.150889,0.360158,-0.125778
26,BASELINE1,2014-3-3T11:30:04.000-05:00,25497.2,31928.5,-14560.3,Medium,Breathing_out,2,0.184667,0.231118,0.335556
26,BASELINE1,2014-3-3T11:30:05.000-05:00,65511.9,4.75479,40014.7,High,Breathing_in,1,-0.0702222,0.402753,-0.254889
26,BASELINE1,2014-3-3T11:30:06.000-05:00,65525.6,2.51968,13.6667,High,Breath_holding,1,0.0991111,0.284895,0.169333
26,BASELINE1,2014-3-3T11:30:07.000-05:00,65533.2,1.60728,7.55556,High,Breath_holding,2,0.0782222,0.337771,-0.0208889
26,BASELINE1,2014-3-3T11:30:08.000-05:00,15420.2,27798.3,-50112.9,Low,Breathing_out,1,0.06,0.243434,-0.0182222
26,BASELINE1,2014-3-3T11:30:09.000-05:00,29126.6,32563.7,13706.3,Medium,Breathing_in,1,0.028,0.384,-0.032
26,BASELINE1,2014-3-3T11:30:10.000-05:00,29126.6,32564.5,0.0555556,Medium,Breath_holding,1,0.0902222,0.447943,0.0622222
26,BASELINE1,2014-3-3T11:30:11.000-05:00,1.5,2.19216,-29125.1,Low,Breathing_out,1,-0.0857778,0.212374,-0.176
26,BASELINE1,2014-3-3T11:30:12.000-05:00,3654.11,15007.6,3652.61,Low,Breathing_in,1,0.0388889,0.289505,0.124667
26,BASELINE1,2014-3-3T11:30:13.000-05:00,65527.9,1.3287,61873.8,High,Breathing_in,2,-0.0608889,0.313295,-0.0997778
26,BASELINE1,2014-3-3T11:30:14.000-05:00,50969.8,27244.2,-14558.1,High,Breathing_out,1,0.235111,0.409808,0.296
26,BASELINE1,2014-3-3T11:30:15.000-05:00,24.9412,26.9629,-50944.8,Low,Breathing_out,2,-0.314588,0.583689,-0.549699
26,BASELINE1,2014-3-3T11:30:16.000-05:00,40053.1,31909.5,40028.2,Medium,Breathing_in,1,-0.158444,0.268345,0.156144
26,BASELINE1,2014-3-3T11:30:17.000-05:00,65516.7,5.92364,25463.6,High,Breathing_in,2,-0.0644444,0.274122,0.094
26,BASELINE1,2014-3-3T11:30:18.000-05:00,65529.8,2.17449,13.0556,High,Breath_holding,1,-0.133778,0.351204,-0.0693333
26,BASELINE1,2014-3-3T11:30:19.000-05:00,43689.4,30893.1,-21840.4,Medium,Breathing_out,1,0.0191111,0.278949,0.152889
26,BASELINE1,2014-3-3T11:30:20.000-05:00,10923.6,24423,-32765.8,Low,Breathing_out,2,0.0713333,0.232529,0.0522222
