subject,session,UTC_Timestamp,HR,HR_1std,BR,BR_1std_General,Temperature,Temperature_1std,Posture,Posture_1std,Activity,Activity_1std,Acceleration,Acceleration_1std,Battery,Battery_1std,BR_Amplitude,BR_Amplitude_1std,ECG_Amplitude,ECG_Amplitude_1std,ECG_Noise,ECG_Noise_1std,XMin,XMin_1std,XPeak,XPeak_1std,YMin,YMin_1std,YPeak,YPeak_1std,ZMin,ZMin_1std,ZPeak,ZPeak_1std
26,PRE_SHAKING1,2014-3-3T11:21:01.000-05:00,222,222,10.0,10,24.1,24.1,-84,-84,0.39,0.39,2.29,2.29,4.118,4.118,14.000,14,0.000231,0.000231,0.000332,0.000332,-0.50,-0.5,1.44,1.44,-0.19,-0.19,1.14,1.14,-0.96,-0.96,1.29,1.29
26,PRE_SHAKING1,2014-3-3T11:21:02.000-05:00,222,0,10.1,0.1,24.1,0,-109,-25,1.80,1.41,4.20,1.91,4.118,0,22.000,8,0.000231,0,0.000736,0.000404,-1.26,-0.76,2.16,0.72,-2.91,-2.72,2.42,1.28,-2.08,-1.12,2.21,0.92
26,PRE_SHAKING1,2014-3-3T11:21:03.000-05:00,222,0,10.1,0,24.1,0,-123,-14,1.78,-0.02,3.21,-0.99,4.118,0,31.000,9,0.000231,0,0.001083,0.000347,-1.11,0.15,1.85,-0.31,-2.75,0.16,2.06,-0.36,-1.62,0.46,2.32,0.11
26,PRE_SHAKING1,2014-3-3T11:21:04.000-05:00,222,0,10.2,0.1,24.1,0,-133,-10,1.84,0.06,3.19,-0.02,4.118,0,34.000,3,0.000231,0,0.001415,0.000332,-1.01,0.1,2.01,0.16,-2.85,-0.1,1.96,-0.1,-1.88,-0.26,2.32,0
26,PRE_SHAKING1,2014-3-3T11:21:05.000-05:00,222,0,10.3,0.1,24.1,0,-129,4,1.76,-0.08,3.02,-0.17,4.118,0,37.000,3,0.000231,0,0.001545,0.00013,-0.75,0.26,1.96,-0.05,-3.06,-0.21,2.26,0.3,-1.37,0.51,2.06,-0.26
26,PRE_SHAKING1,2014-3-3T11:21:06.000-05:00,223,1,10.3,0,24.1,0,-132,-3,1.71,-0.05,2.74,-0.28,4.118,0,35.000,-2,0.000231,0,0.001386,-0.000159,-0.55,0.2,2.06,0.1,-2.91,0.15,1.80,-0.46,-1.37,0,2.01,-0.05
26,PRE_SHAKING1,2014-3-3T11:21:07.000-05:00,222,-1,10.4,0.1,24.1,0,-135,-3,1.56,-0.15,2.61,-0.13,4.118,0,34.000,-1,0.000231,0,0.001400,1.4e-005,-0.50,0.05,1.96,-0.1,-2.85,0.06,1.65,-0.15,-1.67,-0.3,1.96,-0.05
26,PRE_SHAKING1,2014-3-3T11:21:08.000-05:00,222,0,10.6,0.2,24.1,0,-133,2,1.46,-0.1,2.47,-0.14,4.118,0,35.000,1,0.000231,0,0.001400,0,-0.39,0.11,2.01,0.05,-2.91,-0.06,1.39,-0.26,-1.42,0.25,1.75,-0.21
26,PRE_SHAKING1,2014-3-3T11:21:09.000-05:00,223,1,10.8,0.2,24.1,0,-132,1,1.58,0.12,2.44,-0.03,4.117,-0.001,40.000,5,0.000231,0,0.001400,0,-0.44,-0.05,2.01,0,-2.85,0.06,1.85,0.46,-1.16,0.26,1.80,0.05
26,PRE_SHAKING1,2014-3-3T11:21:10.000-05:00,224,1,11.0,0.2,24.1,0,-133,-1,1.37,-0.21,2.19,-0.25,4.118,0.001,46.000,6,0.000231,0,0.001400,0,-0.34,0.1,1.96,-0.05,-2.60,0.25,1.08,-0.77,-1.21,-0.05,1.91,0.11
26,PRE_SHAKING1,2014-3-3T11:21:11.000-05:00,226,2,11.2,0.2,24.1,0,-134,-1,1.23,-0.14,2.26,0.07,4.118,0,43.000,-3,0.000231,0,0.001400,0,-0.14,0.2,1.80,-0.16,-2.29,0.31,0.88,-0.2,-1.57,-0.36,1.70,-0.21
26,PRE_SHAKING1,2014-3-3T11:21:12.000-05:00,226,0,11.4,0.2,24.1,0,-133,1,1.20,-0.03,1.97,-0.29,4.118,0,40.000,-3,0.000231,0,0.001386,-1.4e-005,-0.29,-0.15,1.70,-0.1,-2.39,-0.1,0.93,0.05,-0.85,0.72,1.80,0.1
26,PRE_SHAKING1,2014-3-3T11:21:13.000-05:00,227,1,11.5,0.1,24.1,0,-133,0,1.26,0.06,1.94,-0.03,4.118,0,37.000,-3,0.000231,0,0.001400,1.4e-005,-0.19,0.1,1.80,0.1,-2.34,0.05,1.24,0.31,-0.85,0,1.70,-0.1
