subject,session,New_DeviceTime,Delta_t,Longitude,Longitude_1std,Latitude,Latitude_1std,curvedness_feature,centrifugal_feature,GPSSpeed(Meterspersecond),GPSSpeed(Meterspersecond)_1std,HorizontalDilutionofPrecision,HorizontalDilutionofPrecision_1std,Altitude,Altitude_1std,slope_type,slope_level,slope_type_N_level,Bearing,Bearing_1std,G(x),G(x)_1std,G(y),G(y)_1std,G(z),G(z)_1std,G(calibrated),G(calibrated)_1std,AccelerationSensor(Total)(g),AccelerationSensor(Total)(g)_1std,AccelerationSensor(Yaxis)(g),AccelerationSensor(Yaxis)(g)_1std,AccelerationSensor(Xaxis)(g),AccelerationSensor(Xaxis)(g)_1std,AccelerationSensor(Zaxis)(g),AccelerationSensor(Zaxis)(g)_1std,AverageTripSpeed(WhilstStoppedorMoving)(kmperh),AverageTripSpeed(WhilstStoppedorMoving)(kmperh)_1std,AirFuelRatio(Measured)(ratioto1),AirFuelRatio(Measured)(ratioto1)_1std,Barometer(onAndroiddevice)(mb),Barometer(onAndroiddevice)(mb)_1std,Distancetoempty(Estimated)(km),Distancetoempty(Estimated)(km)_1std,DistancetravelledwithMILperCELlit(km),DistancetravelledwithMILperCELlit(km)_1std,EngineCoolantTemperature,EngineCoolantTemperature_1std,EngineLoad,EngineLoad_1std,FuelRemaining(Calculatedfromvehicleprofile),FuelRemaining(Calculatedfromvehicleprofile)_1std,EngineRPM(rpm),EngineRPM(rpm)_1std,Fuelcost(trip)(cost),Fuelcost(trip)(cost)_1std,Fuelflowrateperhour(galperhr),Fuelflowrateperhour(galperhr)_1std,Fuelflowrateperminute(galpermin),Fuelflowrateperminute(galpermin)_1std,Fuelused(trip)(gal),Fuelused(trip)(gal)_1std,GPSAltitude(m),GPSAltitude(m)_1std,FuelTrimBank1LongTerm(percent),FuelTrimBank1LongTerm(percent)_1std,Fueltrimbank1sensor2(percent),Fueltrimbank1sensor2(percent)_1std,GPSAccuracy(m),GPSAccuracy(m)_1std,FuelTrimBank1ShortTerm(percent),FuelTrimBank1ShortTerm(percent)_1std,GPSBearing,GPSBearing_1std,GPSvsOBDSpeeddifference(kmperh),GPSvsOBDSpeeddifference(kmperh)_1std,Voltage(ControlModule)(V),Voltage(ControlModule)(V)_1std,MassAirFlowRate(gpers),MassAirFlowRate(gpers)_1std,IntakeAirTemperature,IntakeAirTemperature_1std,IntakeManifoldPressure(psi),IntakeManifoldPressure(psi)_1std,O2Sensor1EquivalenceRatio(alternate),O2Sensor1EquivalenceRatio(alternate)_1std,TripDistance(km),TripDistance(km)_1std,Tripdistance(storedinvehicleprofile)(km),Tripdistance(storedinvehicleprofile)(km)_1std,EnginekW(Atthewheels)(kW),EnginekW(Atthewheels)(kW)_1std,Horsepower(Atthewheels)(hp),Horsepower(Atthewheels)(hp)_1std,KilometersPerLitre(LongTermAverage)(kpl),KilometersPerLitre(LongTermAverage)(kpl)_1std,LitresPer100Kilometer(LongTermAverage)(lper100km),LitresPer100Kilometer(LongTermAverage)(lper100km)_1std,MilesPerGallon(LongTermAverage)(mpg),MilesPerGallon(LongTermAverage)(mpg)_1std,Torque(Nm),Torque(Nm)_1std,TripTime(Sincejourneystart)(s),TripTime(Sincejourneystart)(s)_1std,Triptime(whilstmoving)(s),Triptime(whilstmoving)(s)_1std,Triptime(whilststationary)(s),Triptime(whilststationary)(s)_1std,Speed(OBD)(kmperh),Speed(OBD)(mperspow2)_1std,accel_type,accel_level,accel_type_N_level,AbsoluteThrottlePositionB(percent),AbsoluteThrottlePositionB(percent)_1std,AbsoluteThrottlePositionD(percent),AbsoluteThrottlePositionD(percent)_1std,AbsoluteThrottlePositionE(percent),AbsoluteThrottlePositionE(percent)_1std,AbsoluteThrottlePositionF(percent),AbsoluteThrottlePositionF(percent)_1std,CO2ingperkm(Average)(gperkm),CO2ingperkm(Average)(gperkm)_1std,FuelLevel(FromEngineECU)(percent),FuelLevel(FromEngineECU)(percent)_1std,RelativeThrottlePosition(percent),RelativeThrottlePosition(percent)_1std,RelativeAcceleratorPedalPosition(percent),RelativeAcceleratorPedalPosition(percent)_1std,ThrottlePosition(Manifold)(percent),ThrottlePosition(Manifold)(percent)_1std
26,NULL_SESSION,2014-03-03T11:29:50.000-05:00,999,-79.94605572,-0.080026,40.44376876,0.040484,0.0896836,0,0.0,0.000000,5.0,0.005005,228.0,0.228228,Uphill,Low,Uphill_Low,0.0,0.000000,-9.59,-0.009600,-0.4,-0.000400,-0.81,-0.000811,0,0.000000,0,0.000000,-0.04,-0.000040,-1,-0.001001,-0.17,-0.000170,99999999,99999999,99999999,99999999,994.39,0.995385,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,228,0.228228,99999999,99999999,99999999,99999999,5,0.005005,99999999,99999999,0,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,1.532613,99999999,99999999,99999999,99999999,15.12,0.015135,6.61,0.006617,35.56,0.035596,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,27805.6,Acceleration,High,Acceleration_High,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
26,NULL_SESSION,2014-03-03T11:29:51.000-05:00,1,-79.94605939,-0.000004,40.44377058,0.000002,99999999,99999999,0.0,0.000000,5.0,0.000000,228.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-8.84,0.750000,-0.31,0.090000,-0.43,0.380000,-0.08,-0.080000,0.04,0.040000,-0.05,-0.010000,-1.03,-0.030000,-0.2,-0.030000,0,0,99999999,99999999,994.39,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,228,0.000000,99999999,99999999,99999999,99999999,5,0.000000,99999999,99999999,0,0.000000,0,0,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,15.12,0.000000,6.61,0.000000,35.56,0.000000,99999999,99999999,0,0,0,0,0,0,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999
26,NULL_SESSION,2014-03-03T11:29:58.000-05:00,7,-79.9460633,-0.000001,40.44377204,0.000000,6.18095e-008,0,0.0,0.000000,4.0,-0.142857,228.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-9.73,-0.127143,-0.52,-0.030000,-0.6,-0.024286,0.01,0.012857,-0,-0.005714,-0.05,0.000000,-0.99,0.005714,-0.17,0.004286,0,0.000000,99999999,99999999,994.41,0.002857,99999999,99999999,99999999,99999999,88,88,34.12,34.12,99999999,99999999,733,733,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,228,0.000000,10.16,10.16,99999999,99999999,4,-0.142857,-0.78,-0.78,0,0.000000,0,0.000000,99999999,99999999,3.48,3.48,11,11,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,-0.361429,7.94,0.190000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,17.65
26,BASELINE1,2014-03-03T11:30:03.000-05:00,5,-79.94606367,-0.000000,40.443772009999996,-0.000000,7.68159e-007,0,0.0,0.000000,4.0,0.000000,228.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-8.9,0.166000,-0.19,0.066000,-0.55,0.010000,-0.07,-0.016000,-0.04,-0.008000,-0.04,0.002000,-0.96,0.006000,-0.16,0.002000,0,0.000000,99999999,99999999,994.45,0.008000,99999999,99999999,99999999,99999999,88,0.000000,33.73,-0.078000,99999999,99999999,698.5,-6.900000,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,228,0.000000,10.16,0.000000,99999999,99999999,4,0.000000,0,0.156000,0,0.000000,0,0.000000,99999999,99999999,3.43,-0.010000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:08.000-05:00,5,-79.94606354,0.000000,40.44377192,-0.000000,1.00717e-007,0,0.0,0.000000,4.0,0.000000,228.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-8.91,-0.002000,-0.17,0.004000,-0.51,0.008000,-0.07,0.000000,0.04,0.016000,-0.06,-0.004000,-1.04,-0.016000,-0.19,-0.006000,0,0.000000,99999999,99999999,994.42,-0.006000,99999999,99999999,99999999,99999999,88,0.000000,34.12,0.078000,99999999,99999999,730,6.300000,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,228,0.000000,10.16,0.000000,99999999,99999999,4,0.000000,-2.34,-0.468000,0,0.000000,0,0.000000,99999999,99999999,3.48,0.010000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:10.000-05:00,2,-79.94606365,-0.000000,40.44377196,0.000000,1.36473e-007,0,0.0,0.000000,4.0,0.000000,228.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-8.65,0.130000,-0.25,-0.040000,-0.42,0.045000,-0.1,-0.015000,-0.12,-0.080000,-0.03,0.015000,-0.88,0.080000,-0.14,0.025000,0,0.000000,99999999,99999999,994.48,0.030000,-807.3,-807.3,99999999,99999999,88,0.000000,33.73,-0.195000,-100.2,-100.2,693,-18.500000,0,0,99999999,99999999,99999999,99999999,0,0,228,0.000000,9.38,-0.390000,99999999,99999999,4,0.000000,1.56,1.950000,0,0.000000,0,0.000000,99999999,99999999,3.48,0.000000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:12.000-05:00,2,-79.94606362,0.000000,40.44377197,0.000000,7.15891e-008,0,0.0,0.000000,4.0,0.000000,229.0,0.500000,Uphill,Medium,Uphill_Medium,0.0,0.000000,-9.59,-0.470000,-0.5,-0.125000,-0.4,0.010000,-0,0.050000,0.01,0.065000,-0.05,-0.010000,-1,-0.060000,-0.17,-0.015000,0,0.000000,99999999,99999999,994.41,-0.035000,-807.3,0.000000,99999999,99999999,88,0.000000,33.73,0.000000,-100.2,0.000000,691.75,-0.625000,0,0.000000,0.28,0.28,0,0,0,0.000000,229,0.500000,10.94,0.780000,99999999,99999999,4,0.000000,-3.12,-2.340000,0,0.000000,0,0.000000,99999999,99999999,3.43,-0.025000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:14.000-05:00,2,-79.94606355,0.000000,40.443772,0.000000,2.23607e-008,0,0.0,0.000000,5.0,0.500000,229.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-10.16,-0.285000,-0.5,0.000000,-0.99,-0.295000,0.06,0.030000,0.05,0.020000,-0.05,0.000000,-1.05,-0.025000,-0.19,-0.010000,0,0.000000,99999999,99999999,994.47,0.030000,-807.31,-0.005000,99999999,99999999,88,0.000000,33.73,0.000000,-100.2,0.000000,704.25,6.250000,0,0.000000,0.28,0.000000,0,0.000000,0,0.000000,229,0.000000,10.16,-0.390000,99999999,99999999,5,0.500000,1.56,2.340000,0,0.000000,0,0.000000,99999999,99999999,3.48,0.025000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:16.000-05:00,2,-79.94606377,-0.000000,40.4437721,0.000000,1.49164e-007,0,0.0,0.000000,5.0,0.000000,229.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-9.45,0.355000,-0.41,0.045000,-0.46,0.265000,-0.02,-0.040000,0.01,-0.020000,-0.05,0.000000,-1.01,0.020000,-0.19,0.000000,0,0.000000,99999999,99999999,994.45,-0.010000,-807.32,-0.005000,99999999,99999999,89,0.500000,33.73,0.000000,-100.2,0.000000,711.25,3.500000,0,0.000000,0.28,0.000000,0,0.000000,0,0.000000,229,0.000000,10.16,0.000000,99999999,99999999,5,0.000000,-2.34,-1.950000,0,0.000000,0,0.000000,99999999,99999999,3.48,0.000000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
26,BASELINE1,2014-03-03T11:30:18.000-05:00,2,-79.94606346,0.000000,40.44377194,-0.000000,2.95169e-007,0,0.0,0.000000,5.0,0.000000,229.0,0.000000,Plain,Low,Plain_Low,0.0,0.000000,-9.77,-0.160000,-0.34,0.035000,-0.95,-0.245000,0.02,0.020000,-0.07,-0.040000,-0.02,0.015000,-0.93,0.040000,-0.15,0.020000,0,0.000000,99999999,99999999,994.42,-0.015000,-807.33,-0.005000,99999999,99999999,89,0.000000,34.12,0.195000,-100.2,0.000000,712.5,0.625000,0,0.000000,0.28,0.000000,0,0.000000,0,0.000000,229,0.000000,10.16,0.000000,99999999,99999999,5,0.000000,0.78,1.560000,0,0.000000,0,0.000000,99999999,99999999,3.54,0.030000,11,0.000000,99999999,99999999,99999999,99999999,99999999,99999999,1531.08,0.000000,99999999,99999999,99999999,99999999,12.59,0.000000,7.94,0.000000,35.56,0.000000,99999999,99999999,0,0.000000,0,0.000000,0,0.000000,0,0,ConstatndSpeed,Low,ConstatndSpeed_Low,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,17.65,0.000000
