GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Average trip speed(whilst stopped or moving)(km/h),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine Load(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel used (trip)(gal),GPS Altitude(m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),GPS Accuracy(m),Fuel Trim Bank 1 Short Term(%),GPS Bearing(°),GPS vs OBD Speed difference(km/h),Voltage (Control Module)(V),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine kW (At the wheels)(kW),Horsepower (At the wheels)(hp),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Long Term Average)(mpg),Torque(Nm),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Speed (OBD)(km/h),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),CO? in g/km (Average)(g/km),Fuel Level (From Engine ECU)(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Throttle Position(Manifold)(%)
Mon Oct 28 10:17:37 EDT 2013,28-Oct-2013 10:17:44.393,-79.94584488,40.4437659,0,4,249,0,-9.45,-0.1,-2.36,0.01,-0.01,-0.01,-0.96,-0.34,0,14.69,992.6,-,0,36,34.51,-,1410,-,-,-,-,-,0,-,4,0,-,0,13.94,3.59,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:39 EDT 2013,28-Oct-2013 10:17:46.419,-79.94584463,40.44376558,0,4,249,0,-9.44,0.01,-2,0,-0.01,-0.01,-0.97,-0.32,0,14.66,992.57,459.29,0,36,70.2,69.6,1415.5,0,-,-,0,249,0,-,4,0,0,0,13.98,7.82,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:41 EDT 2013,28-Oct-2013 10:17:48.456,-79.94584457,40.44376546,0,5,249,0,-9.39,0.06,-2.02,0,-0.02,0,-0.96,-0.31,0,14.22,992.55,459.27,0,36,77.65,69.6,1258.5,0,0.62,0.01,0,249,0,-,5,0,0,0,13.96,7.65,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:43 EDT 2013,28-Oct-2013 10:17:50.161,-79.94584469,40.44376546,0,5,249,0,-9.38,0.07,-2.06,0,-0.01,0.01,-0.97,-0.33,0,14.15,992.62,459.24,0,36,68.24,69.59,1347.5,0,0.73,0.01,0,249,0,-,5,0,0,0,13.96,8.82,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:44 EDT 2013,28-Oct-2013 10:17:51.559,-79.94584478,40.44376547,0,5,249,0,-9.45,0.09,-2.14,0.01,-0.03,0.01,-0.95,-0.28,0,14.77,992.57,459.23,0,37,68.63,69.59,1281.25,0.01,0.72,0.01,0,249,0,-,5,-9.38,0,0,13.96,8.62,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:46 EDT 2013,28-Oct-2013 10:17:53.006,-79.94584473,40.4437654,0,6,249,0,-9.37,0,-2.06,0,-0.01,-0.01,-0.97,-0.31,0,15.85,992.56,459.21,0,38,69.8,69.59,1264.75,0.01,0.69,0.01,0,249,0,-,6,-8.59,0,0,13.96,8.67,18,-,-,-,167.56,-,-,10.31,9.7,29.13,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:47 EDT 2013,28-Oct-2013 10:17:54.539,-79.94584473,40.44376541,0,6,249,0,-9.35,0.09,-1.91,-0.01,-0.01,-0.02,-0.96,-0.32,0,15.8,992.64,459.19,0,38,67.45,69.59,1306.25,0.01,0.66,0.01,0,249,0,-,6,-6.25,0,0,13.96,8.89,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:49 EDT 2013,28-Oct-2013 10:17:56.036,-79.94584472,40.44376536,0,6,249,0,-9.41,-0.03,-2.04,0,-0.02,0,-0.96,-0.31,0,15.65,992.62,459.18,0,38,67.45,69.59,1303.75,0.01,0.66,0.01,0,249,0,-,6,-4.69,0,0,13.96,8.78,18,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:50 EDT 2013,28-Oct-2013 10:17:57.623,-79.94584472,40.44376534,0,5,249,0,-9.46,0.05,-2.21,0.01,-0.02,0,-0.96,-0.3,0,15.48,992.58,459.16,0,39,67.06,69.58,1307,0.01,0.67,0.01,0,249,0,-,5,-6.25,0,0,13.94,8.84,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Oct 28 10:17:52 EDT 2013,28-Oct-2013 10:17:59.099,-79.94584469,40.44376532,0,5,249,0,-9.42,-0.06,-2.03,0,-0.01,0,-0.96,-0.34,0,15.63,992.59,459.14,0,40,67.06,69.58,1308.5,0.01,0.66,0.01,0,249,0,-,5,-4.69,0,0,13.96,8.64,17,-,-,-,167.56,-,-,10.31,9.7,29.12,-,0,0,0,0,-,-,-,-,-,-,-,-,-
