Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/03/2014 11:07:57.944,92,10.0,22.8,-76,0.76,1.06,4.192,23.000,0.000577,0.000115,-0.34,0.01,0.21,1.03,0.67,1.24
03/03/2014 11:07:58.944,111,10.0,22.8,-73,0.49,0.96,4.184,23.000,0.012187,0.000144,-0.50,0.16,-0.08,1.08,0.57,1.24
03/03/2014 11:07:59.944,119,10.0,22.8,-84,0.61,1.75,4.177,21.000,0.012187,0.000433,-2.14,1.29,-1.52,0.57,-0.24,2.67
03/03/2014 11:08:00.944,123,10.0,22.8,-84,0.24,0.30,4.171,26.000,0.012981,0.000259,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:01.944,125,10.0,22.8,-85,0.12,0.17,4.166,27.000,0.012981,0.000187,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:02.944,125,10.0,22.8,-84,0.07,0.10,4.159,25.000,0.000245,0.000144,-0.14,-0.08,-0.14,-0.08,0.98,1.08
03/03/2014 11:08:03.944,126,10.0,22.8,-84,0.03,0.05,4.156,22.000,0.000245,0.000129,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:04.944,126,10.0,22.8,-84,0.02,0.02,4.153,19.000,0.000202,0.000129,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:05.944,126,10.0,22.8,-85,0.02,0.05,4.151,16.000,0.000202,0.000115,-0.08,-0.03,-0.14,-0.08,1.03,1.08
03/03/2014 11:08:06.944,127,10.0,22.8,-85,0.01,0.01,4.149,14.000,0.000216,0.000129,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:07.944,128,10.0,22.8,-85,0.01,0.01,4.147,12.000,0.000216,0.000115,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:08.944,130,10.0,22.8,-85,0.01,0.01,4.146,10.000,0.000202,0.000115,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:09.944,131,10.0,22.8,-85,0.01,0.01,4.145,9.000,0.000202,0.000115,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:10.944,132,10.0,22.8,-85,0.01,0.01,4.144,8.000,0.000216,0.000115,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:11.944,135,10.0,22.8,-85,0.01,0.01,4.143,7.000,0.000216,0.000115,-0.08,-0.08,-0.08,-0.08,1.03,1.03
03/03/2014 11:08:12.944,137,10.0,22.8,-85,0.01,0.01,4.143,6.000,0.000202,0.000101,-0.08,-0.08,-0.08,-0.08,1.03,1.03
