GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Average trip speed(whilst stopped or moving)(km/h),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(캜),Engine Load(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel used (trip)(gal),GPS Altitude(m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),GPS Accuracy(m),Fuel Trim Bank 1 Short Term(%),GPS Bearing(?,GPS vs OBD Speed difference(km/h),Voltage (Control Module)(V),Mass Air Flow Rate(g/s),Intake Air Temperature(캜),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine kW (At the wheels)(kW),Horsepower (At the wheels)(hp),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Long Term Average)(mpg),Torque(Nm),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Speed (OBD)(km/h),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),CO? in g/km (Average)(g/km),Fuel Level (From Engine ECU)(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Throttle Position(Manifold)(%)
Mon Mar 03 11:29:49 EST 2014,03-Mar-2014 11:29:49.971,-79.94605572,40.44376876,0.0,5.0,228.0,0.0,-9.59,-0.4,-0.81,0,0,-0.04,-1,-0.17,-,-,994.39,-,-,-,-,-,-,-,-,-,-,228,-,-,5,-,0,-,-,-,-,-,-,-,1531.08,-,-,15.12,6.61,35.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mon Mar 03 11:29:50 EST 2014,03-Mar-2014 11:29:50.696,-79.94605939,40.44377058,0.0,5.0,228.0,0.0,-8.84,-0.31,-0.43,-0.08,0.04,-0.05,-1.03,-0.2,0,-,994.39,-,-,-,-,-,-,-,-,-,-,228,-,-,5,-,0,0,-,-,-,-,-,-,1531.08,-,-,15.12,6.61,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,-
Mon Mar 03 11:29:56 EST 2014,03-Mar-2014 11:29:57.200,-79.9460633,40.44377204,0.0,4.0,228.0,0.0,-9.73,-0.52,-0.6,0.01,-0,-0.05,-0.99,-0.17,0,-,994.41,-,-,88,34.12,-,733,-,-,-,-,228,10.16,-,4,-0.78,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:02 EST 2014,03-Mar-2014 11:30:02.552,-79.94606367,40.443772009999996,0.0,4.0,228.0,0.0,-8.9,-0.19,-0.55,-0.07,-0.04,-0.04,-0.96,-0.16,0,-,994.45,-,-,88,33.73,-,698.5,-,-,-,-,228,10.16,-,4,0,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:07 EST 2014,03-Mar-2014 11:30:07.700,-79.94606354,40.44377192,0.0,4.0,228.0,0.0,-8.91,-0.17,-0.51,-0.07,0.04,-0.06,-1.04,-0.19,0,-,994.42,-,-,88,34.12,-,730,-,-,-,-,228,10.16,-,4,-2.34,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:09 EST 2014,03-Mar-2014 11:30:09.566,-79.94606365,40.44377196,0.0,4.0,228.0,0.0,-8.65,-0.25,-0.42,-0.1,-0.12,-0.03,-0.88,-0.14,0,-,994.48,-807.3,-,88,33.73,-100.2,693,0,-,-,0,228,9.38,-,4,1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:10 EST 2014,03-Mar-2014 11:30:11.445,-79.94606362,40.44377197,0.0,4.0,229.0,0.0,-9.59,-0.5,-0.4,-0,0.01,-0.05,-1,-0.17,0,-,994.41,-807.3,-,88,33.73,-100.2,691.75,0,0.28,0,0,229,10.94,-,4,-3.12,0,0,-,3.43,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:12 EST 2014,03-Mar-2014 11:30:13.434,-79.94606355,40.443772,0.0,5.0,229.0,0.0,-10.16,-0.5,-0.99,0.06,0.05,-0.05,-1.05,-0.19,0,-,994.47,-807.31,-,88,33.73,-100.2,704.25,0,0.28,0,0,229,10.16,-,5,1.56,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:14 EST 2014,03-Mar-2014 11:30:15.435,-79.94606377,40.4437721,0.0,5.0,229.0,0.0,-9.45,-0.41,-0.46,-0.02,0.01,-0.05,-1.01,-0.19,0,-,994.45,-807.32,-,89,33.73,-100.2,711.25,0,0.28,0,0,229,10.16,-,5,-2.34,0,0,-,3.48,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
Mon Mar 03 11:30:16 EST 2014,03-Mar-2014 11:30:17.221,-79.94606346,40.44377194,0.0,5.0,229.0,0.0,-9.77,-0.34,-0.95,0.02,-0.07,-0.02,-0.93,-0.15,0,-,994.42,-807.33,-,89,34.12,-100.2,712.5,0,0.28,0,0,229,10.16,-,5,0.78,0,0,-,3.54,11,-,-,-,1531.08,-,-,12.59,7.94,35.56,-,0,0,0,0,-,-,-,-,-,-,-,-,17.65
